,NoPerDay,measure,statistic,W1_err,W2_err,W3_err,QueueOutside_err,W1_err_pct,W2_err_pct,W3_err_pct,QueueOutside_err_pct
47,1850,95,std,0.9184381814517976,0.9255094941610382,0.6521347443362153,0.2110907897225357,0.8704626253576366,0.8735555994956337,0.8244306411867932,0.3360538444613512
48,1900,Avg,mean,0.07017543859649122,0.05357142857142857,0.0,0.8810526315789474,0.009462203524200383,0.0096078287738739,0.0,0.8433186729720998
49,1900,Avg,std,0.25544350523342685,0.22517093199181754,0.0,0.2706513023390994,0.06569124136119345,0.06626605486498638,0.0,0.33542182449742897
50,1900,90,mean,-0.963508771929828,-0.9846428571428611,-1.3861842105263251,0.8870947368421052,-0.5492702794880835,-0.5590806212111115,-1.2310561786375853,0.8199456288444481
51,1900,90,std,0.7637347333691912,0.753821871791425,0.5494199400254237,0.24570603972137708,0.7235377350983868,0.7262019730732081,0.6956892591867937,0.3549139010898573
52,1900,95,mean,-1.1431578947368326,-1.1735714285714178,-1.6684210526315693,0.8563368421052632,-0.6557524595216712,-0.667466745736762,-1.4699374603739412,0.8135167392435204
53,1900,95,std,0.9226680575643065,0.902105289894342,0.584929425581858,0.29119059467889513,0.8627961645293755,0.8659610413429878,0.823907335511825,0.3642833056742353
54,1950,Avg,mean,0.07142857142857142,0.07272727272727272,0.0,0.8692105263157888,0.0006704139351036844,0.0006826032793782971,0.0,0.8290079767838783
55,1950,Avg,std,0.2575404770453907,0.25968941589938205,0.0,0.26881317015224765,0.0029409105150193615,0.002966123365763351,0.0,0.34732135389181806
56,1950,90,mean,-0.8789285714285762,-0.8924545454545465,-1.492368421052571,0.8897197368421046,-0.52159902433392,-0.531082455973679,-1.2288527973061727,0.8091931283607499
57,1950,90,std,0.8684926043512863,0.8704873214160274,0.46802940648527047,0.215389052840817,0.7182827425435793,0.7213003644859667,0.6981526278187814,0.35740285086941925
58,1950,95,mean,-1.081428571428561,-1.0923636363636335,-1.765263157894683,0.8454947368421055,-0.6057304043976698,-0.6167430903814581,-1.4655507173024596,0.8006605462624425
59,1950,95,std,0.9846568438998841,0.9901923915868748,0.5351005890082802,0.283230061971398,0.8329712905267455,0.8364596635127779,0.8305529792841808,0.3689942818971857
60,2000,Avg,mean,0.05454545454545454,0.05454545454545454,0.0,0.912432432432433,0.00034021639061841273,0.0003402163906184128,0.0,0.8310931096203522
61,2000,Avg,std,0.2270918507899084,0.22709185078990843,0.0,0.2143561239067259,0.0016438999496468805,0.0016438999496468805,0.0,0.34461272071129007
62,2000,90,mean,-1.0229090909090919,-1.0229090909090919,-1.5105405405405183,0.8750054054054062,-0.5156378831098551,-0.5156378831098551,-1.2578160631624258,0.8026979459090602
63,2000,90,std,0.9221181385977772,0.9221181385977772,0.4960539022169719,0.25535719286382336,0.7098713169386548,0.7098713169386548,0.6847151085005445,0.36813380684822383
64,2000,95,mean,-1.2450909090909104,-1.2450909090909104,-1.776216216216174,0.8856648648648668,-0.576750193559119,-0.5767501935591189,-1.4554521501952393,0.7961833204668519
65,2000,95,std,0.9054559616859258,0.9054559616859259,0.5826681987161338,0.2303424163234743,0.8210528113851489,0.8210528113851489,0.8328924907628749,0.37653638410380075
